RowLabel,ColLabel,Value,x,y
evaluative.positive,evaluative.positive,0.7368549108505249,8,8
evaluative.positive,exchange,0.5053855180740356,9,8
evaluative.positive,kinship,0.4071521461009979,10,8
evaluative.positive,medicine,0.44570186734199524,11,8
evaluative.positive,movement,0.5677319765090942,12,8
evaluative.positive,person,0.3760446012020111,13,8
evaluative.positive,place,0.3632296025753021,14,8
evaluative.positive,plants_and_food,0.5033195614814758,15,8
evaluative.positive,quantity,0.5019705295562744,16,8
evaluative.positive,relational,0.5931128263473511,17,8
evaluative.positive,sense.auditory,0.45265182852745056,18,8
evaluative.positive,sense.visual,0.47260576486587524,19,8
evaluative.positive,shapes,0.47554582357406616,20,8
evaluative.positive,size,0.6806648969650269,21,8
evaluative.positive,spatial,0.5359299778938293,22,8
evaluative.positive,substance,0.5619663000106812,23,8
evaluative.positive,temperature,0.5554672479629517,24,8
evaluative.positive,time.period,0.47090840339660645,25,8
evaluative.positive,time.relative,0.5155817270278931,26,8
exchange,action,0.4723544418811798,0,9
exchange,animals,0.34935200214385986,1,9
exchange,artifact,0.4932386577129364,2,9
exchange,body,0.445064514875412,3,9
exchange,cognition,0.4556787610054016,4,9
exchange,colors,0.41081345081329346,5,9
exchange,conflict,0.4890398383140564,6,9
exchange,evaluative.negative,0.4364508390426636,7,9
exchange,evaluative.positive,0.5053855180740356,8,9
exchange,exchange,0.7707505226135254,9,9
exchange,kinship,0.42041707038879395,10,9
exchange,medicine,0.5268956422805786,11,9
exchange,movement,0.5680146217346191,12,9
exchange,person,0.41370221972465515,13,9
exchange,place,0.3942200839519501,14,9
exchange,plants_and_food,0.5032196640968323,15,9
exchange,quantity,0.48473870754241943,16,9
exchange,relational,0.5357069969177246,17,9
exchange,sense.auditory,0.3145345449447632,18,9
exchange,sense.visual,0.5232817530632019,19,9
exchange,shapes,0.44555723667144775,20,9
exchange,size,0.5426812767982483,21,9
exchange,spatial,0.42900145053863525,22,9
exchange,substance,0.46850329637527466,23,9
exchange,temperature,0.4990050196647644,24,9
exchange,time.period,0.4015451669692993,25,9
exchange,time.relative,0.4907481372356415,26,9
kinship,action,0.45565012097358704,0,10
